Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Other,45-64 years,12,540,12,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Other,65-74 years,11,276,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Other,75-84 years,11,231,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Other,85 years and over,20,279,,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Other,All ages,60,1999,37,18,0,79,
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,New Mexico,Place of death unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,All places of death,All ages,5997,49744,5639,2356,146,9413,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,0-14 years,0,65,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,15-44 years,11,845,14,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,45-64 years,86,3797,77,,,163,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,65-74 years,90,4117,106,16,,184,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,75-84 years,120,4649,131,25,,227,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,85 years and over,121,4069,135,34,0,222,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Decedent's home,All ages,428,17542,465,80,12,824,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",0-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",65-74 years,,,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",75-84 years,,,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, dead on arrival",All ages,,23,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",0-14 years,,227,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",15-44 years,98,785,120,42,,184,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",45-64 years,714,3526,840,348,33,1236,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",65-74 years,1106,4046,1170,538,26,1761,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",75-84 years,1150,3976,1242,593,26,1821,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",85 years and over,792,2768,894,448,21,1257,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, inpatient",All ages,3863,15328,4274,1969,115,6271,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",0-14 years,,112,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",15-44 years,20,559,21,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",45-64 years,68,1187,40,14,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",65-74 years,59,916,50,13,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",75-84 years,73,696,48,11,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",85 years and over,58,451,34,,0,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,"Healthcare setting, outpatient or emergency room",All ages,280,3921,194,49,,433,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,15-44 years,0,25,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,45-64 years,,222,16,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,65-74 years,10,324,19,,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,75-84 years,27,420,43,11,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,85 years and over,33,452,52,14,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Hospice facility,All ages,75,1444,131,28,,184,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,15-44 years,,23,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,45-64 years,44,453,23,,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,65-74 years,157,1138,71,29,0,199,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,75-84 years,359,2384,154,63,0,450,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,85 years and over,703,4631,258,112,,850,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Nursing home/longterm care facility,All ages,1264,8629,508,212,,1562,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,0-14 years,0,36,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,15-44 years,,782,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,45-64 years,11,705,13,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,65-74 years,13,400,10,,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,75-84 years,24,428,16,,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,85 years and over,36,506,23,10,0,49,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Other,All ages,85,2857,63,16,,135,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Oklahoma,Place of death unknown,All ages,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Region total,All places of death,All ages,63434,454749,56225,32724,1024,87888,
2/17/2021,1/4/2020,2/13/2021,6,Texas,All places of death,All ages,41125,277655,36880,22363,604,56205,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,0-14 years,,404,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,15-44 years,173,5354,90,23,,247,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,45-64 years,849,19357,412,90,31,1199,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,65-74 years,668,19828,485,139,13,1027,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,75-84 years,749,22533,644,189,17,1218,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,85 years and over,799,22684,756,284,,1278,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Decedent's home,All ages,3239,90160,2394,725,77,4978,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",0-14 years,0,19,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",15-44 years,,83,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",45-64 years,,91,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",65-74 years,,49,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",75-84 years,,34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",85 years and over,,32,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, dead on arrival",All ages,24,308,,,,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",0-14 years,18,2019,30,,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",15-44 years,1231,5883,1165,725,38,1708,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",45-64 years,7672,24991,7009,4782,136,10030,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",65-74 years,8327,24624,7904,5428,98,10891,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",75-84 years,7979,23231,7813,5216,93,10659,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",85 years and over,4931,15449,5184,3212,59,6958,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, inpatient",All ages,30158,96197,29105,19367,432,40298,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",0-14 years,,494,11,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",15-44 years,134,2808,56,19,,177,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",45-64 years,462,5243,232,102,10,602,
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",65-74 years,373,3980,260,120,,520,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",75-84 years,337,3320,245,109,,478,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",85 years and over,244,2369,231,94,,382,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,"Healthcare setting, outpatient or emergency room",All ages,1552,18214,1035,444,31,2173,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,15-44 years,,340,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,45-64 years,48,2338,153,23,,182,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,65-74 years,98,2783,249,49,,301,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,75-84 years,197,3319,384,107,,476,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,85 years and over,223,3153,412,126,,518,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Hospice facility,All ages,567,11939,1204,306,18,1483,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,15-44 years,11,153,17,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,45-64 years,192,2411,136,57,,273,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,65-74 years,583,5477,337,144,,779,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,75-84 years,1365,11555,738,390,10,1722,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,85 years and over,2773,21962,1392,731,14,3447,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Nursing home/longterm care facility,All ages,4924,41559,2620,1326,29,6245,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,0-14 years,,180,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,15-44 years,36,4758,20,,0,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,45-64 years,106,4114,84,22,,172,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,65-74 years,87,2498,73,24,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,75-84 years,168,3102,144,68,,247,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,85 years and over,263,4626,193,77,,380,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,6,Texas,Other,All ages,661,19278,515,193,16,998,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,6,Texas,Place of death unknown,All ages,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,All places of death,All ages,5357,38546,3716,1838,99,7331,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,0-14 years,0,38,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,15-44 years,,549,10,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,45-64 years,54,2259,30,,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,65-74 years,64,2438,56,16,,107,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,75-84 years,80,2574,84,16,,149,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,85 years and over,109,2644,102,28,,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Decedent's home,All ages,315,10502,284,65,10,544,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",15-44 years,0,10,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",45-64 years,,16,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",75-84 years,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",85 years and over,,,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, dead on arrival",All ages,,55,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",0-14 years,,130,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",15-44 years,49,431,40,21,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",45-64 years,404,1979,366,215,,561,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",65-74 years,588,2322,528,300,14,829,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",75-84 years,745,2575,652,369,13,1040,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",85 years and over,672,2596,657,363,12,978,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, inpatient",All ages,2459,10033,2246,1268,48,3482,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",0-14 years,,46,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",15-44 years,,238,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",45-64 years,29,511,15,,0,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",65-74 years,20,411,13,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",75-84 years,33,348,24,,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",85 years and over,17,209,16,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,"Healthcare setting, outpatient or emergency room",All ages,104,1763,74,25,,156,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,0-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,15-44 years,0,36,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,45-64 years,,435,23,,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,65-74 years,17,659,50,,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,75-84 years,39,876,64,11,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,85 years and over,58,1142,118,16,,163,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Hospice facility,All ages,119,3149,257,30,12,358,
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Nursing home/longterm care facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Nursing home/longterm care facility,15-44 years,,25,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Nursing home/longterm care facility,45-64 years,61,412,24,,0,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,7,Iowa,Nursing home/longterm care facility,65-74 years,203,1156,78,44,,239,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
